date,value,numberOfEntries
"2019-06-02 03:50:00",0.0264643,924
"2019-06-02 03:55:00",0.0262858,510
"2019-06-02 04:00:00",0.0223124,253
"2019-06-02 04:05:00",0.0347193,429
"2019-06-02 04:10:00",0.0409055,223
"2019-06-02 04:15:00",0.0270133,422
"2019-06-02 04:20:00",0.0352677,588
"2019-06-02 04:25:00",0.020221,356
"2019-06-02 04:30:00",0.028748,834
"2019-06-02 04:35:00",0.0256225,774
"2019-06-02 04:40:00",0.032338,406
"2019-06-02 04:45:00",0.029629,1099
"2019-06-02 04:50:00",0.0341179,515
"2019-06-02 04:55:00",0.0372159,245
"2019-06-02 05:00:00",0.0348087,164
"2019-06-02 05:05:00",0.0392397,273
"2019-06-02 05:10:00",0.0318926,150
"2019-06-02 05:15:00",0.0275254,65
"2019-06-02 05:20:00",0.0264684,288
"2019-06-02 05:25:00",0.0172967,215
"2019-06-02 05:30:00",0.0293419,795
"2019-06-02 05:35:00",0.0567236,186
"2019-06-02 05:40:00",0.00957243,362
"2019-06-02 05:45:00",0.0156801,275
"2019-06-02 05:50:00",0.0810623,200
"2019-06-02 05:55:00",0.0248196,364
"2019-06-02 06:00:00",0.0217645,237
"2019-06-02 06:05:00",0.024544,247
"2019-06-02 06:10:00",0.0314227,21
"2019-06-02 06:15:00",0.0289961,328
"2019-06-02 06:20:00",0.0229706,129
"2019-06-02 06:25:00",0.0218551,384
"2019-06-02 06:30:00",0.0256006,237
"2019-06-02 06:35:00",0.0202205,325
"2019-06-02 06:40:00",0.0283667,259
"2019-06-02 06:45:00",0.0226201,210
"2019-06-02 06:50:00",0.0175975,273
"2019-06-02 06:55:00",0.024862,138
"2019-06-02 07:00:00",0.0159411,227
"2019-06-02 07:05:00",0.028544,51
"2019-06-02 07:10:00",0.0169922,377
"2019-06-02 07:15:00",0.0245135,172
"2019-06-02 07:20:00",0.0283495,390
"2019-06-02 07:25:00",0.0219163,210
"2019-06-02 07:30:00",0.0452712,812
"2019-06-02 07:35:00",0.0240665,309
"2019-06-02 07:40:00",0.0251309,149
"2019-06-02 07:45:00",0.0203234,390
"2019-06-02 07:50:00",0.0244688,525
"2019-06-02 07:55:00",0.0247797,539
"2019-06-02 08:00:00",0.0210601,298
"2019-06-02 08:05:00",0.0190157,461
"2019-06-02 08:10:00",0.0312299,872
"2019-06-02 08:15:00",0.0488454,938
"2019-06-02 08:20:00",0.0546768,675
"2019-06-02 08:25:00",0.0237357,1074
"2019-06-02 08:30:00",0.02512,633
"2019-06-02 08:35:00",0.0342357,704
"2019-06-02 08:40:00",0.0370592,622
"2019-06-02 08:45:00",0.0311297,674
"2019-06-02 08:50:00",0.0210941,741
"2019-06-02 08:55:00",0.0490666,1144
"2019-06-02 09:00:00",0.517244,1906
"2019-06-02 09:05:00",0.178831,2998
"2019-06-02 09:10:00",0.353068,2346
"2019-06-02 09:15:00",0.660257,1773
"2019-06-02 09:20:00",0.0185129,1209
"2019-06-02 09:25:00",0.298564,2363
"2019-06-02 09:30:00",0.0160716,617
"2019-06-02 09:35:00",0.388126,612
"2019-06-02 09:40:00",0.0158868,550
"2019-06-02 09:45:00",0.0177038,638
"2019-06-02 09:50:00",0.0183507,731
"2019-06-02 09:55:00",0.0182606,588
"2019-06-02 10:00:00",0.0158393,1182
"2019-06-02 10:05:00",0.0178039,976
"2019-06-02 10:10:00",0.0166257,574
"2019-06-02 10:15:00",0.0161475,524
"2019-06-02 10:20:00",0.0175407,237
"2019-06-02 10:25:00",0.0187281,443
"2019-06-02 10:30:00",0.0179388,954
"2019-06-02 10:35:00",0.0180865,900
"2019-06-02 10:40:00",0.0169131,874
"2019-06-02 10:45:00",0.0176615,592
"2019-06-02 10:50:00",0.0168802,528
"2019-06-02 10:55:00",0.0169965,754
"2019-06-02 11:00:00",0.0169298,1181
"2019-06-02 11:05:00",0.27493,1063
"2019-06-02 11:10:00",0.0154887,586
"2019-06-02 11:15:00",0.0165347,460
"2019-06-02 11:20:00",0.0165056,505
"2019-06-02 11:25:00",0.0154059,572
"2019-06-02 11:30:00",0.017242,1070
"2019-06-02 11:35:00",0.0173694,1202
"2019-06-02 11:40:00",0.0173965,1127
"2019-06-02 11:45:00",0.0174802,1382
"2019-06-02 11:50:00",0.0169842,955
"2019-06-02 11:55:00",0.0159451,439
"2019-06-02 12:00:00",0.728962,1345
"2019-06-02 12:05:00",0.33345,782
"2019-06-02 12:10:00",0.0175927,454
"2019-06-02 12:15:00",0.0177394,1024
"2019-06-02 12:20:00",0.0191307,1113
"2019-06-02 12:25:00",0.0181621,931
"2019-06-02 12:30:00",0.0203165,910
"2019-06-02 12:35:00",0.0207394,751
"2019-06-02 12:40:00",0.0185416,724
"2019-06-02 12:45:00",0.0204315,744
"2019-06-02 12:50:00",0.0185997,694
"2019-06-02 12:55:00",0.0173425,585
"2019-06-02 13:00:00",0.0157831,545
"2019-06-02 13:05:00",0.0182351,701
"2019-06-02 13:10:00",0.0168062,479
"2019-06-02 13:15:00",0.0160015,310
"2019-06-02 13:20:00",0.0174614,670
"2019-06-02 13:25:00",0.0208624,801
"2019-06-02 13:30:00",0.0229005,245
"2019-06-02 13:35:00",0.0189689,247
"2019-06-02 13:40:00",0.0170646,474
"2019-06-02 13:45:00",0.3378,909
"2019-06-02 13:50:00",0.884611,1193
"2019-06-02 13:55:00",0.822505,2302
"2019-06-02 14:00:00",0.0185324,1759
"2019-06-02 14:05:00",0.0273781,1386
"2019-06-02 14:10:00",0.0237028,1055
"2019-06-02 14:15:00",0.0190702,1075
"2019-06-02 14:20:00",0.0236367,827
"2019-06-02 14:25:00",0.84737,1645
"2019-06-02 14:30:00",0.275061,525
"2019-06-02 14:35:00",0.227094,587
"2019-06-02 14:40:00",0.517265,397
"2019-06-02 14:45:00",0.407977,1195
"2019-06-02 14:50:00",0.111592,501
"2019-06-02 14:55:00",0.0369159,743
"2019-06-02 15:00:00",0.0310958,1317
"2019-06-02 15:05:00",0.0275091,631
"2019-06-02 15:10:00",0.0414163,661
"2019-06-02 15:15:00",0.037968,1343
"2019-06-02 15:20:00",0.0159301,909
"2019-06-02 15:25:00",0.403369,1395
"2019-06-02 15:30:00",0.122881,1411
"2019-06-02 15:35:00",0.0273864,980
"2019-06-02 15:40:00",0.0320716,648
"2019-06-02 15:45:00",0.0633994,564
"2019-06-02 15:50:00",0.557447,1569
"2019-06-02 15:55:00",0.0570795,738
"2019-06-02 16:00:00",0.0174366,364
"2019-06-02 16:05:00",0.0541967,307
"2019-06-02 16:10:00",0.183251,350
"2019-06-02 16:15:00",0.0192029,237
"2019-06-02 16:20:00",0.0152771,416
"2019-06-02 16:25:00",0.0156225,441
"2019-06-02 16:30:00",0.0167482,497
"2019-06-02 16:35:00",0.0182499,273
"2019-06-02 16:40:00",0.0152639,285
"2019-06-02 16:45:00",0.0173961,292
"2019-06-02 16:50:00",0.0183756,375
"2019-06-02 16:55:00",0.347383,330
"2019-06-02 17:00:00",0.398447,3389
"2019-06-02 17:05:00",0.191896,4950
"2019-06-02 17:10:00",0.0958817,4950
"2019-06-02 17:15:00",0.184453,4868
"2019-06-02 17:20:00",0.126915,4965
"2019-06-02 17:25:00",0.127625,4990
"2019-06-02 17:30:00",0.0580297,4989
"2019-06-02 17:35:00",0.0683509,3926
"2019-06-02 17:40:00",0.014447,787
"2019-06-02 17:45:00",0.0152754,975
"2019-06-02 17:50:00",0.0150079,625
"2019-06-02 17:55:00",0.0155441,633
"2019-06-02 18:00:00",0.0153866,1026
"2019-06-02 18:05:00",0.0166401,869
"2019-06-02 18:10:00",0.0196342,768
"2019-06-02 18:15:00",0.0203989,769
"2019-06-02 18:20:00",0.0194016,517
"2019-06-02 18:25:00",0.0192977,659
"2019-06-02 18:30:00",0.0187018,598
"2019-06-02 18:35:00",0.0148855,1056
"2019-06-02 18:40:00",0.0153177,749
"2019-06-02 18:45:00",0.136461,1066
"2019-06-02 18:50:00",0.0943393,857
"2019-06-02 18:55:00",0.274673,2614
"2019-06-02 19:00:00",0.0172402,1862
"2019-06-02 19:05:00",0.016996,694
"2019-06-02 19:10:00",0.0151856,183
"2019-06-02 19:15:00",0.0157239,356
"2019-06-02 19:20:00",0.0170854,276
"2019-06-02 19:25:00",0.015896,258
"2019-06-02 19:30:00",0.0155427,431
"2019-06-02 19:35:00",0.0163206,724
"2019-06-02 19:40:00",0.0161194,275
"2019-06-02 19:45:00",0.0155807,396
"2019-06-02 19:50:00",0.0157938,335
"2019-06-02 19:55:00",0.0154321,439
"2019-06-02 20:00:00",1.6647,1881
"2019-06-02 20:05:00",0.783375,3708
"2019-06-02 20:10:00",1.08329,2647
"2019-06-02 20:15:00",1.48699,3600
"2019-06-02 20:20:00",1.48266,2914
"2019-06-02 20:25:00",0.641184,10532
"2019-06-02 20:30:00",0.232679,6185
"2019-06-02 20:35:00",1.37863,1294
"2019-06-02 20:40:00",0.56087,2264
"2019-06-02 20:45:00",0.0377544,2140
"2019-06-02 20:50:00",0.33347,1718
"2019-06-02 20:55:00",1.61131,2244
"2019-06-02 21:00:00",1.01137,1278
"2019-06-02 21:05:00",1.41234,1853
"2019-06-02 21:10:00",1.32338,1864
"2019-06-02 21:15:00",0.652821,2835
"2019-06-02 21:20:00",0.147953,4107
"2019-06-02 21:25:00",0.204926,3404
"2019-06-02 21:30:00",0.200872,9844
"2019-06-02 21:35:00",0.114153,6123
"2019-06-02 21:40:00",0.20091,3821
"2019-06-02 21:45:00",0.1763,3409
"2019-06-02 21:50:00",0.244839,3405
"2019-06-02 21:55:00",0.232746,4701
"2019-06-02 22:00:00",0.191133,841
"2019-06-02 22:05:00",0.295304,1816
"2019-06-02 22:10:00",0.324063,1051
"2019-06-02 22:15:00",0.371464,4244
"2019-06-02 22:20:00",0.241657,2256
"2019-06-02 22:25:00",1.01302,4011
"2019-06-02 22:30:00",0.0211788,3274
"2019-06-02 22:35:00",0.0234723,3545
"2019-06-02 22:40:00",0.134899,4259
"2019-06-02 22:45:00",0.136769,4119
"2019-06-02 22:50:00",0.149416,3804
"2019-06-02 22:55:00",0.188088,4227
"2019-06-02 23:00:00",0.298718,4502
"2019-06-02 23:05:00",0.363963,8430
"2019-06-02 23:10:00",0.444179,3373
"2019-06-02 23:15:00",0.615602,6375
"2019-06-02 23:20:00",0.327679,6843
"2019-06-02 23:25:00",0.131039,3276
"2019-06-02 23:30:00",0.526939,4366
"2019-06-02 23:35:00",0.603212,5089
"2019-06-02 23:40:00",2.09109,3665
"2019-06-02 23:45:00",3.627,3543
"2019-06-02 23:50:00",3.41727,3406
"2019-06-02 23:55:00",2.37877,4099
"2019-06-03 00:00:00",0.689948,5371
"2019-06-03 00:05:00",0.0930353,10220
"2019-06-03 00:10:00",0.0193501,10221
"2019-06-03 00:15:00",0.215201,9992
"2019-06-03 00:20:00",0.0253484,9995
"2019-06-03 00:25:00",0.0290609,9992
"2019-06-03 00:30:00",0.0219283,9992
"2019-06-03 00:35:00",0.071515,9992
"2019-06-03 00:40:00",0.349509,9988
"2019-06-03 00:45:00",0.252227,8844
